第一批本科高校文史类、理工类投档情况统计表                                                
统计时间：2018年7月18日16时                                                
序号   科类        院校代号        院校名称        投档线        "最低投档排名"
457       理工        2194        辽宁科技大学        542        29890
458       理工        2196        大连大学        552        25128
459       理工        2197        大连交通大学        556        23173
460       理工        2200        大连外国语大学        564        20267
461       理工        2201        大连医科大学        588        11857
462       理工        2203        沈阳建筑大学        555        23590
463       理工        2222        东北电力大学        559        22197
464       理工        2223        吉林农业大学        527        38183
465       理工        2243        黑龙江大学        548        26771
466       理工        2245        哈尔滨商业大学        546        27977
467       理工        2247        哈尔滨理工大学        550        25826
468       理工        2281        上海师范大学        582        13849
469       理工        2283        上海电力学院        576        15646
470       理工        2284        上海应用技术大学        555        23794
471       理工        2285        上海海事大学        587        12271
472       理工        2286        上海海洋大学        561        21509
473       理工        2287        上海工程技术大学        567        19134
474       理工        2289        上海第二工业大学        560        21886
475       理工        2290        上海立信会计金融学院        599        8986
476       理工        2292        上海电机学院        549        26355
477       理工        2293        上海政法学院        578        15206
478       理工        2312        南京工业大学        584        13120
479       理工        2313        常州大学        560        21646
480       理工        2314        南京邮电大学        600        8855
481       理工        2315        南京林业大学        566        19402
482       理工        2317        南京审计大学        604        7940
483       理工        2319        南京财经大学        591        11039
484       理工        2321        苏州科技大学        560        21771
485       理工        2323        徐州医科大学        576        15623
486       理工        2341        南京医科大学        608        7048
487       理工        2351        杭州电子科技大学        594        10286
488       理工        2357        浙江中医药大学        550        26234
489       理工        2361        中国计量大学        569        18352
490       理工        2365        浙江科技学院        547        27468
491       理工        2367        杭州师范大学        566        19349
492       理工        2371        湖州师范学院        539        31086
493       理工        2375        浙江财经大学        584        13126
494       理工        2382        安徽工业大学        555        23687
495       理工        2383        安徽理工大学        549        26279
496       理工        2385        安徽财经大学        565        19796
497       理工        2388        安徽农业大学        545        28616
498       理工        2395        安徽医科大学        593        10675
499       理工        2401        安徽工程大学        546        27858
500       理工        2421        闽江学院        552        25331
501       理工        2427        集美大学        580        14512
502       理工        2428        福建农林大学        547        27444
503       理工        2431        华侨大学        574        16609
504       理工        2434        厦门理工学院        566        19309
505       理工        2461        烟台大学        554        24246
506       理工        2462        山东科技大学        560        21628
507       理工        2463        青岛大学        575        15996
508       理工        2465        青岛理工大学        559        22058
509       理工        2468        济南大学        559        22110
510       理工        2483        山东工商学院        543        29142
511       理工        2486        山东理工大学        546        27973
512       理工        2489        曲阜师范大学        542        30009
513       理工        2501        华北水利水电大学        546        27791
514       理工        2502        河南理工大学        546        27875
515       理工        2517        河南财经政法大学        559        22143
516       理工        2541        武汉工程大学        563        20441
517       理工        2542        武汉纺织大学        548        27079
518       理工        2544        湖北工业大学        563        20666
519       理工        2546        湖北大学        570        18043
520       理工        2548        长江大学        551        25624
521       理工        2558        三峡大学        556        23123
522       理工        2561        中南民族大学        559        21988
523       理工        2601        湖南农业大学        544        28859
524       理工        2602        中南林业科技大学        552        25341
525       理工        2603        湖南中医药大学        563        20575
526       理工        2608        长沙理工大学        571        17584
527       理工        2610        湖南工业大学        538        31788
528       理工        2611        南华大学        559        21975
529       理工        2613        湖南科技大学        558        22572
530       理工        2661        广东海洋大学        551        25547
531       理工        2664        广东财经大学        594        10392
532       理工        2666        广东工业大学        586        12356
533       理工        2667        广州大学        586        12415
534       理工        2672        东莞理工学院        554        24432
535       理工        2679        广东医科大学        575        15932
536       理工        2685        北京师范大学-香港浸会大学联合国         555        23891
537       理工        2687        广州医科大学        597        9660
538       理工        2724        广西医科大学        587        12178
539       理工        2753        海南医学院        562        20985
540       理工        2771        重庆邮电大学        589        11518
541       理工        2772        重庆交通大学        561        21280
542       理工        2773        重庆医科大学        605        7665
543       理工        2774        重庆理工大学        561        21289
544       理工        2775        重庆工商大学        567        19139
545       理工        2778        四川外国语大学        581        13935
546       理工        2791        西南石油大学        549        26602
547       理工        2792        成都理工大学        563        20312
548       理工        2793        西南科技大学        550        26145
549       理工        2794        成都信息工程大学        552        25357
550       理工        2796        成都中医药大学        555        23682
551       理工        2798        西华师范大学        536        32652
552       理工        2807        西华大学        545        28302
553       理工        2808        西南民族大学        552        25358
554       理工        2820        西南医科大学        547        27338
555       理工        2833        遵义医学院        549        26531
556       理工        2852        昆明理工大学        562        21086
557       理工        2871        西安理工大学        565        19767
558       理工        2872        西安工业大学        554        24063
559       理工        2873        西安工程大学        545        28196
560       理工        2874        西安科技大学        557        22902
561       理工        2875        西安石油大学        529        36491
562       理工        2879        西北政法大学        565        19769
563       理工        2921        兰州理工大学        527        38183
564       理工        2964        宁夏医科大学        541        30552
565       理工        8001        江西师范大学        552        24949
566       理工        8101        南昌大学▲        569        18283
567       理工        8102        江西财经大学        567        18978
568       理工        8121        南昌大学▲        561        21219
569       理工        8161        南昌大学▲        574        16544
570       理工        8201        江西农业大学        527        38183
571       理工        8202        华东交通大学        547        27363
572       理工        8203        江西理工大学        529        36654
573       理工        8204        东华理工大学        527        38183
574       理工        8205        南昌航空大学        539        31243
575       理工        8206        景德镇陶瓷大学        527        38183
576       理工        8208        江西中医药大学        536        32798
577       理工        8209        赣南医学院        535        33263
